# IEA 15 MW
TSR,   Pitch ,  C_Fx  ,   C_Fy   ,  C_Fz   ,  C_Mx   ,  C_My  ,   C_Mz
(-),   (deg) ,  (-)  ,   (-)   ,  (-)   ,  (-)   ,  (-)  ,   (-)
3.0000,	-1.000000,	0.090725,	0.0000,	0.0000,	0.0303,	0.0000,	0.0000
3.0000,	-0.750000,	0.092940,	0.0000,	0.0000,	0.0310,	0.0000,	0.0000
3.0000,	-0.500000,	0.095153,	0.0000,	0.0000,	0.0317,	0.0000,	0.0000
3.0000,	-0.250000,	0.097362,	0.0000,	0.0000,	0.0325,	0.0000,	0.0000
3.0000,	0.000000,	0.099567,	0.0000,	0.0000,	0.0332,	0.0000,	0.0000
3.0000,	0.250000,	0.101766,	0.0000,	0.0000,	0.0340,	0.0000,	0.0000
3.0000,	0.500000,	0.103957,	0.0000,	0.0000,	0.0347,	0.0000,	0.0000
3.0000,	0.750000,	0.106140,	0.0000,	0.0000,	0.0354,	0.0000,	0.0000
3.0000,	1.000000,	0.108311,	0.0000,	0.0000,	0.0361,	0.0000,	0.0000
3.0000,	1.250000,	0.110469,	0.0000,	0.0000,	0.0369,	0.0000,	0.0000
3.0000,	1.500000,	0.112613,	0.0000,	0.0000,	0.0376,	0.0000,	0.0000
3.0000,	1.750000,	0.114739,	0.0000,	0.0000,	0.0383,	0.0000,	0.0000
3.0000,	2.000000,	0.116846,	0.0000,	0.0000,	0.0390,	0.0000,	0.0000
3.0000,	2.250000,	0.118932,	0.0000,	0.0000,	0.0397,	0.0000,	0.0000
3.0000,	2.500000,	0.120993,	0.0000,	0.0000,	0.0404,	0.0000,	0.0000
3.0000,	2.750000,	0.123028,	0.0000,	0.0000,	0.0410,	0.0000,	0.0000
3.0000,	3.000000,	0.125035,	0.0000,	0.0000,	0.0417,	0.0000,	0.0000
3.0000,	3.250000,	0.127009,	0.0000,	0.0000,	0.0424,	0.0000,	0.0000
3.0000,	3.500000,	0.128949,	0.0000,	0.0000,	0.0430,	0.0000,	0.0000
3.0000,	3.750000,	0.130852,	0.0000,	0.0000,	0.0437,	0.0000,	0.0000
3.0000,	4.000000,	0.132714,	0.0000,	0.0000,	0.0443,	0.0000,	0.0000
3.0000,	4.250000,	0.134532,	0.0000,	0.0000,	0.0449,	0.0000,	0.0000
3.0000,	4.500000,	0.136303,	0.0000,	0.0000,	0.0455,	0.0000,	0.0000
3.0000,	4.750000,	0.138024,	0.0000,	0.0000,	0.0461,	0.0000,	0.0000
3.0000,	5.000000,	0.139691,	0.0000,	0.0000,	0.0466,	0.0000,	0.0000
3.0000,	5.250000,	0.141301,	0.0000,	0.0000,	0.0471,	0.0000,	0.0000
3.0000,	5.500000,	0.142850,	0.0000,	0.0000,	0.0477,	0.0000,	0.0000
3.0000,	5.750000,	0.144335,	0.0000,	0.0000,	0.0482,	0.0000,	0.0000
3.0000,	6.000000,	0.145752,	0.0000,	0.0000,	0.0486,	0.0000,	0.0000
3.0000,	6.250000,	0.147099,	0.0000,	0.0000,	0.0491,	0.0000,	0.0000
3.0000,	6.500000,	0.148372,	0.0000,	0.0000,	0.0495,	0.0000,	0.0000
3.0000,	6.750000,	0.149569,	0.0000,	0.0000,	0.0499,	0.0000,	0.0000
3.0000,	7.000000,	0.150688,	0.0000,	0.0000,	0.0503,	0.0000,	0.0000
3.0000,	7.250000,	0.151725,	0.0000,	0.0000,	0.0506,	0.0000,	0.0000
3.0000,	7.500000,	0.152680,	0.0000,	0.0000,	0.0509,	0.0000,	0.0000
3.0000,	7.750000,	0.153550,	0.0000,	0.0000,	0.0512,	0.0000,	0.0000
3.0000,	8.000000,	0.154335,	0.0000,	0.0000,	0.0515,	0.0000,	0.0000
3.0000,	8.250000,	0.155033,	0.0000,	0.0000,	0.0517,	0.0000,	0.0000
3.0000,	8.500000,	0.155643,	0.0000,	0.0000,	0.0519,	0.0000,	0.0000
3.0000,	8.750000,	0.156166,	0.0000,	0.0000,	0.0521,	0.0000,	0.0000
3.0000,	9.000000,	0.156600,	0.0000,	0.0000,	0.0522,	0.0000,	0.0000
3.0000,	9.250000,	0.156945,	0.0000,	0.0000,	0.0524,	0.0000,	0.0000
3.0000,	9.500000,	0.157203,	0.0000,	0.0000,	0.0525,	0.0000,	0.0000
3.0000,	9.750000,	0.157372,	0.0000,	0.0000,	0.0525,	0.0000,	0.0000
3.0000,	10.000000,	0.157454,	0.0000,	0.0000,	0.0525,	0.0000,	0.0000
3.0000,	10.250000,	0.157450,	0.0000,	0.0000,	0.0525,	0.0000,	0.0000
3.0000,	10.500000,	0.157359,	0.0000,	0.0000,	0.0525,	0.0000,	0.0000
3.0000,	10.750000,	0.157185,	0.0000,	0.0000,	0.0524,	0.0000,	0.0000
3.0000,	11.000000,	0.156927,	0.0000,	0.0000,	0.0524,	0.0000,	0.0000
3.0000,	11.250000,	0.156588,	0.0000,	0.0000,	0.0522,	0.0000,	0.0000
3.0000,	11.500000,	0.156169,	0.0000,	0.0000,	0.0521,	0.0000,	0.0000
3.0000,	11.750000,	0.155672,	0.0000,	0.0000,	0.0519,	0.0000,	0.0000
3.0000,	12.000000,	0.155099,	0.0000,	0.0000,	0.0517,	0.0000,	0.0000
3.0000,	12.250000,	0.154451,	0.0000,	0.0000,	0.0515,	0.0000,	0.0000
3.0000,	12.500000,	0.153732,	0.0000,	0.0000,	0.0513,	0.0000,	0.0000
3.0000,	12.750000,	0.152942,	0.0000,	0.0000,	0.0510,	0.0000,	0.0000
3.0000,	13.000000,	0.152085,	0.0000,	0.0000,	0.0507,	0.0000,	0.0000
3.0000,	13.250000,	0.151162,	0.0000,	0.0000,	0.0504,	0.0000,	0.0000
3.0000,	13.500000,	0.150175,	0.0000,	0.0000,	0.0501,	0.0000,	0.0000
3.0000,	13.750000,	0.149128,	0.0000,	0.0000,	0.0498,	0.0000,	0.0000
3.0000,	14.000000,	0.148021,	0.0000,	0.0000,	0.0494,	0.0000,	0.0000
3.0000,	14.250000,	0.146857,	0.0000,	0.0000,	0.0490,	0.0000,	0.0000
3.0000,	14.500000,	0.145638,	0.0000,	0.0000,	0.0486,	0.0000,	0.0000
3.0000,	14.750000,	0.144367,	0.0000,	0.0000,	0.0482,	0.0000,	0.0000
3.0000,	15.000000,	0.143044,	0.0000,	0.0000,	0.0477,	0.0000,	0.0000
3.0000,	15.250000,	0.141673,	0.0000,	0.0000,	0.0473,	0.0000,	0.0000
3.0000,	15.500000,	0.140254,	0.0000,	0.0000,	0.0468,	0.0000,	0.0000
3.0000,	15.750000,	0.138789,	0.0000,	0.0000,	0.0463,	0.0000,	0.0000
3.0000,	16.000000,	0.137281,	0.0000,	0.0000,	0.0458,	0.0000,	0.0000
3.0000,	16.250000,	0.135731,	0.0000,	0.0000,	0.0453,	0.0000,	0.0000
3.0000,	16.500000,	0.134139,	0.0000,	0.0000,	0.0448,	0.0000,	0.0000
3.0000,	16.750000,	0.132508,	0.0000,	0.0000,	0.0442,	0.0000,	0.0000
3.0000,	17.000000,	0.130839,	0.0000,	0.0000,	0.0437,	0.0000,	0.0000
3.0000,	17.250000,	0.129132,	0.0000,	0.0000,	0.0431,	0.0000,	0.0000
3.0000,	17.500000,	0.127389,	0.0000,	0.0000,	0.0425,	0.0000,	0.0000
3.0000,	17.750000,	0.125611,	0.0000,	0.0000,	0.0419,	0.0000,	0.0000
3.0000,	18.000000,	0.123799,	0.0000,	0.0000,	0.0413,	0.0000,	0.0000
3.0000,	18.250000,	0.121953,	0.0000,	0.0000,	0.0407,	0.0000,	0.0000
3.0000,	18.500000,	0.120073,	0.0000,	0.0000,	0.0401,	0.0000,	0.0000
3.0000,	18.750000,	0.118161,	0.0000,	0.0000,	0.0394,	0.0000,	0.0000
3.0000,	19.000000,	0.116217,	0.0000,	0.0000,	0.0388,	0.0000,	0.0000
3.0000,	19.250000,	0.114242,	0.0000,	0.0000,	0.0381,	0.0000,	0.0000
3.0000,	19.500000,	0.112235,	0.0000,	0.0000,	0.0374,	0.0000,	0.0000
3.0000,	19.750000,	0.110197,	0.0000,	0.0000,	0.0368,	0.0000,	0.0000
3.0000,	20.000000,	0.108129,	0.0000,	0.0000,	0.0361,	0.0000,	0.0000
3.0000,	20.250000,	0.106030,	0.0000,	0.0000,	0.0354,	0.0000,	0.0000
3.0000,	20.500000,	0.103902,	0.0000,	0.0000,	0.0347,	0.0000,	0.0000
3.0000,	20.750000,	0.101744,	0.0000,	0.0000,	0.0339,	0.0000,	0.0000
