------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.259845463109279e-01  1.999622705006573e+01  2.600000000000000e+00        1
 2.169259349044449e+00  8.555914990162764e-03  2.421378357257148e-02 -5.882164369826754e-02  1.946080786909866e+01  2.645212290008842e+00        2
 4.338518698088897e+00 -4.454058542833167e-03 -1.311500967403835e-02 -8.250106477533763e-01  1.875827555169797e+01  3.020149298923184e+00        3
 6.507778047133343e+00 -5.391291720348575e-02 -1.675034291620765e-01 -8.401781138050178e-01  1.778124014183917e+01  3.437213325623043e+00        4
 8.677037396177791e+00 -6.807127178260378e-02 -2.218637183475747e-01  9.940988182893545e-02  1.593055481444281e+01  3.781799705412531e+00        5
 1.084629674522224e+01 -4.638546198136119e-02 -1.314085416854109e-01  3.651102438877468e-01  1.350248497496167e+01  4.036474978203898e+00        6
 1.301555609426669e+01 -4.042478694715082e-02 -6.138645992759376e-02 -1.723361127720004e-02  1.139766893850974e+01  4.201978450622145e+00        7
 1.518481544331113e+01 -4.769041575404295e-02 -1.048271057776241e-02 -3.157974683173241e-01  9.661025888169757e+00  4.284091347360369e+00        8
 1.735407479235558e+01 -6.433730364158546e-02  2.158321365108589e-02 -5.495763665917380e-01  7.937959652497168e+00  4.288843959956855e+00        9
 1.952333414140003e+01 -8.930448926849012e-02  3.619581135132320e-02 -7.397278134753121e-01  6.369706903909893e+00  4.223066143543667e+00       10
 2.169259349044448e+01 -1.203489997939992e-01  3.675437677470507e-02 -8.935761371039223e-01  4.942594461918434e+00  4.098962476430963e+00       11
 2.386185283948893e+01 -1.569646145815038e-01  2.390243771737209e-02 -1.039604996901029e+00  3.778965173242362e+00  3.923071495366893e+00       12
 2.603111218853337e+01 -1.990650636023225e-01  1.698945416167870e-03 -1.191197550606924e+00  2.885239146986686e+00  3.709322684866380e+00       13
 2.820037153757782e+01 -2.471573058331408e-01 -2.748717499245456e-02 -1.336236139015557e+00  2.264951496533385e+00  3.468335116946723e+00       14
 3.036963088662228e+01 -3.002376108870018e-01 -5.796701034075138e-02 -1.493302639420916e+00  1.744071991808285e+00  3.220534511313275e+00       15
 3.253889023566671e+01 -3.602195247730437e-01 -8.564185645252856e-02 -1.661820550094437e+00  1.358979901841930e+00  2.986017701672333e+00       16
 3.470814958471117e+01 -4.260554068663849e-01 -1.078953576744432e-01 -1.858088754233547e+00  1.045171733915794e+00  2.770876205088198e+00       17
 3.687740893375561e+01 -5.008920130211549e-01 -1.243764690413391e-01 -2.071028128265438e+00  7.233146621723865e-01  2.581339635630718e+00       18
 3.904666828280006e+01 -5.828424836606145e-01 -1.354053453178904e-01 -2.313794750382006e+00  3.976730666494835e-01  2.412097202942550e+00       19
 4.121592763184452e+01 -6.760482570610946e-01 -1.404828050662725e-01 -2.583824504943721e+00  1.628502409332852e-01  2.266723710494503e+00       20
 4.338518698088897e+01 -7.784270771998548e-01 -1.402720402355609e-01 -2.875691412152442e+00 -5.532006297814865e-02  2.142546607236846e+00       21
 4.555444632993341e+01 -8.937083299530337e-01 -1.377212256669261e-01 -3.206965693287733e+00 -2.528917164715359e-01  2.042594882972482e+00       22
 4.772370567897785e+01 -1.021136348452650e+00 -1.290693216739348e-01 -3.581324267925958e+00 -4.565911580144458e-01  1.964335158761933e+00       23
 4.989296502802230e+01 -1.164714795805611e+00 -1.136931083237031e-01 -4.000369998151159e+00 -7.039483006860886e-01  1.909453716770902e+00       24
 5.206222437706674e+01 -1.323804062641779e+00 -9.285690699610165e-02 -4.477827607079520e+00 -9.817320026800989e-01  1.870285611269023e+00       25
 5.423148372611119e+01 -1.503437274346455e+00 -6.888689411130626e-02 -5.050391442939703e+00 -1.275351483789122e+00  1.807948454626255e+00       26
 5.640074307515565e+01 -1.705731927945826e+00 -4.625461848092009e-02 -5.699808138262533e+00 -1.667255761277518e+00  1.666264974361180e+00       27
 5.857000242420010e+01 -1.934323409482973e+00 -2.860036089903330e-02 -6.460086490728266e+00 -2.311822312304400e+00  1.387617066544181e+00       28
 6.073926177324454e+01 -2.193863188233138e+00 -1.513360480390015e-02 -7.491824968772385e+00 -3.335416416355920e+00  9.172936099925491e-01       29
 6.290852112228899e+01 -2.500000000000000e+00  0.000000000000000e+00 -8.112952667203729e+00 -4.640958140559668e+00  1.999999999999999e-01       30
