------- AERODYN15 BLADE DEFINITION INPUT FILE -------------------------------------
Generated with OpenFAST_IO
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID       BlCb        BlCenBn      BlCenBt
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)        (-)         (m)             (m)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.973250447756180e-01  1.999622705006573e+01  2.600000000000000e+00        1  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 1.536683310183800e+00  1.333818138373570e-02  4.371675247593231e-02  6.061986570046151e-01  1.696718773034011e+01  3.332989357938916e+00        2  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 3.073366620367599e+00  3.251611157292454e-02  1.269022623873967e-01  9.331115750989492e-03  1.437168002009455e+01  3.806548720961597e+00        3  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 4.610049930551397e+00  1.383870585162533e-02  6.322638595670627e-02 -9.331790165860542e-01  1.238019498750591e+01  4.009054367277039e+00        4  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 6.146733240735195e+00 -1.753774000839604e-02 -6.697623280589542e-02 -8.877695283438429e-01  1.108240549152475e+01  3.873450354476612e+00        5  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 7.683416550919000e+00 -3.377967172618797e-02 -1.061347007000090e-01 -3.194411906762439e-01  1.016823285461160e+01  3.415563120923925e+00        6  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 9.220099861102794e+00 -3.467259382798222e-02 -4.191822448968480e-02 -2.380555396647104e-01  9.235238694668919e+00  2.903093984323188e+00        7  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 1.075678317128660e+01 -4.654902141678463e-02 -5.792024869995152e-03 -5.842953216588553e-01  7.820400656434085e+00  2.545439607727835e+00        8  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 1.229346648147039e+01 -6.601386587342196e-02  1.157432187938304e-02 -8.477889156380815e-01  5.741308320398319e+00  2.218886042148528e+00        9  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 1.383014979165419e+01 -9.202307028040844e-02  1.707837165440770e-02 -1.054935438959834e+00  3.805668751094007e+00  1.957748241733822e+00       10  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 1.536683310183799e+01 -1.225977924390425e-01  1.644493264701085e-02 -1.225772086048837e+00  2.831295929391878e+00  1.824103927273178e+00       11  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 1.690351641202179e+01 -1.577689188982127e-01  1.102721179949505e-02 -1.424575505080505e+00  2.422926508538170e+00  1.762383737030272e+00       12  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 1.844019972220560e+01 -1.990046718838001e-01  8.681761516962010e-04 -1.647263754943846e+00  2.104424750055186e+00  1.715306245922779e+00       13  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 1.997688303238939e+01 -2.461165785432159e-01 -1.288844259574348e-02 -1.855545724104814e+00  1.596042663349303e+00  1.645961071801662e+00       14  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 2.151356634257319e+01 -2.985194273303493e-01 -2.684310159742167e-02 -2.064645870106784e+00  2.357907827481555e-01  1.491126837164994e+00       15  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 2.305024965275700e+01 -3.568409735587815e-01 -3.749652615193110e-02 -2.303909793282142e+00 -1.486700961187245e+00  1.306237128737813e+00       16  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 2.458693296294079e+01 -4.220686924196029e-01 -4.686632118671766e-02 -2.610027058906385e+00 -2.452904823403678e+00  1.204455453779182e+00       17  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 2.612361627312458e+01 -4.967953663694853e-01 -5.803271064721920e-02 -2.953311760173025e+00 -2.072318123122509e+00  1.203192157342474e+00       18  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 2.766029958330840e+01 -5.804152781124140e-01 -6.755648232382339e-02 -3.316559764565482e+00 -1.141366198358494e+00  1.203192157342474e+00       19  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
 2.919698289349220e+01 -6.745975168846517e-01 -7.475301314414302e-02 -3.680065108651155e+00 -4.204034295562878e-01  1.203192157342474e+00       20  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00
